"bec","site","block","plot","treat1","treat2","yr_surv","yrs_pb","yr","pft1","pft2","pft3","pft4","pft5","pft6","pft7","pft8"
"sbs","Mackenzie",5,"3","CC","FB",1993,5,5,0,87.1,15.1,0,0,0,0,0
"sbs","Mackenzie",4,"1","CC","FB",1998,10,10,10.1,57.2,6.7,1,0,0.2,0.1,0
"sbs","Mackenzie",4,"2","CC","FB",1998,10,10,10.1,57.9,0.6,3.1,0,0,6,0
"sbs","Mackenzie",4,"3","CC","FB",1998,10,10,20,86.5,2.4,1.2,0,0,0.1,0
"sbs","Mackenzie",5,"1","CC","FB",1998,10,10,15,44.8,2.4,41,0,0,1.1,0
"sbs","Mackenzie",5,"2","CC","FB",1998,10,10,15,63.7,0.8,15.1,0,0,0.1,0
"sbs","Mackenzie",5,"3","CC","FB",1998,10,10,10,75.3,3.4,2.5,0.1,0,0,0
"sbs","Mackenzie",4,"1","CC","FB",2007,20,20,45,118.5,15.5,35,0,9,39,0
"sbs","Mackenzie",4,"2","CC","FB",2007,20,20,32,36.7,1.4,20,0,1.1,6.2,0
"sbs","Mackenzie",4,"3","CC","FB",2007,20,20,20,71.5,3.3,30,0,0.5,3.2,0
"sbs","Mackenzie",5,"1","CC","FB",2007,20,20,25,97,3.1,60,0,0.1,7,0
"sbs","Mackenzie",5,"2","CC","FB",2007,20,20,30,98.5,6.5,95,0,2.5,2,0
"sbs","Mackenzie",5,"3","CC","FB",2007,20,20,51,57.6,2.3,25,0,0.1,0.2,0
"sbs","Helene",1,"a","CC","FB",1983,1,1,0.5,11.5,0.5,0,0,0,4,3
"sbs","Helene",1,"b","CC","FB",1983,1,1,0.5,13.5,0,0,0,0,4,3
"sbs","Helene",1,"c","CC","FB",1983,1,1,0.5,15.5,2,0,0,0,3.5,0
"sbs","Helene",1,"d","CC","FB",1983,1,1,0,2,1,1,0,0,2,0
"sbs","Helene",1,"e","CC","FB",1983,1,1,1,1.5,0.5,0,0,0,1,0
"sbs","Helene",2,"a","CC","FB",1983,1,1,0,3.5,2.5,1,0,0.5,0,3
"sbs","Helene",2,"b","CC","FB",1983,1,1,0.5,37,1.5,1,0,0.5,0.5,1
"sbs","Helene",2,"c","CC","FB",1983,1,1,0,23.5,7,0,0,0,0,4
"sbs","Helene",2,"d","CC","FB",1983,1,1,2,2.5,62,0,0,0.5,0,0.5
"sbs","Helene",2,"e","CC","FB",1983,1,1,0,20.5,13,0,0,0,0.5,0.5
"sbs","Helene",3,"a","CC","FB",1983,1,1,0.5,26,2,0,0,0,2.5,0
"sbs","Helene",3,"b","CC","FB",1983,1,1,0.5,18,0,0,0,0,2,0.5
"sbs","Helene",3,"c","CC","FB",1983,1,1,0.5,0.5,0,0,0,0,2,1
"sbs","Helene",3,"d","CC","FB",1983,1,1,0.5,6,0.5,0,0,0,4,3
"sbs","Helene",3,"e","CC","FB",1983,1,1,0.5,5.5,0,0,0,0,4,1
"sbs","Helene",1,"a","CC","FB",1987,5,5,2,18,0,0,0,0,7,1
"sbs","Helene",1,"b","CC","FB",1987,5,5,2,24,0,0,0,0,5,2
